City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Karratha,AU,-20.7377,116.8463,76.51,81,95,12.77,overcast clouds
184,Mecca,SA,21.4267,39.8261,83.53,30,0,2.04,clear sky
185,Acarau,BR,-2.8856,-40.12,77.49,88,68,9.95,broken clouds
186,Dunedin,NZ,-45.8742,170.5036,56.8,65,100,3.0,overcast clouds
187,Padang,ID,-0.9492,100.3543,80.65,62,34,0.29,scattered clouds
188,Saint-Pierre,RE,-21.3393,55.4781,65.91,68,0,8.05,clear sky
189,Veraval,IN,20.9,70.3667,82.89,72,0,9.84,clear sky
190,Cidreira,BR,-30.1811,-50.2056,53.04,90,100,33.76,overcast clouds
191,Turukhansk,RU,65.8167,87.9833,48.38,99,100,4.88,moderate rain
192,Aguilas,ES,37.4063,-1.5829,71.13,61,6,3.0,clear sky
193,Faya,SA,18.3851,42.4509,63.12,20,9,4.45,clear sky
194,Sandovo,RU,58.4602,36.4128,35.92,92,21,6.2,few clouds
195,Lock Haven,US,41.137,-77.4469,59.49,66,3,7.07,clear sky
196,Kothi,IN,24.75,80.7833,95.32,10,58,3.24,broken clouds
197,Tagusao,PH,9.1924,117.8141,85.48,63,90,2.33,overcast clouds
198,Yatou,CN,37.15,122.3833,75.47,41,57,16.67,broken clouds
199,Beloha,MG,-25.1667,45.05,66.18,80,4,12.17,clear sky
200,Codrington,AU,-38.2667,141.9667,56.05,64,31,21.03,scattered clouds
201,Fortuna,US,40.5982,-124.1573,57.92,75,0,12.66,clear sky
202,Aklavik,CA,68.2191,-135.0107,31.95,97,100,11.14,light snow
203,Luorong,CN,24.4058,109.6086,76.42,62,84,3.0,broken clouds
204,Joshimath,IN,30.5667,79.5667,65.71,60,77,1.45,broken clouds
205,Clarence Town,AU,-32.5833,151.7833,67.14,50,4,10.56,clear sky
206,Petropavlovka,RU,50.6114,105.3196,68.2,37,13,4.65,few clouds
207,Narasannapeta,IN,18.4167,84.05,86.72,73,97,9.4,overcast clouds
208,Vestmannaeyjar,IS,63.4427,-20.2734,48.72,84,88,27.51,overcast clouds
209,Trelew,AR,-43.249,-65.3051,49.28,46,8,17.2,clear sky
210,Adrar,MR,20.5022,-10.0711,80.98,11,18,11.03,few clouds
211,Aguimes,ES,27.9054,-15.4461,66.83,64,20,20.71,few clouds
212,Abu Dhabi,AE,24.4667,54.3667,79.97,75,0,3.0,clear sky
213,Huangcun,CN,30.0145,118.4037,71.49,51,100,2.57,overcast clouds
214,Buala,SB,-8.145,159.5921,85.35,69,39,3.4,scattered clouds
